attacker_id,total_events,systems_targeted,targets,address_scope
A0196,471,1,Cowrie,global
A0197,465,1,Cowrie,global
A0198,463,1,Cowrie,global
A0199,462,1,Cowrie,global
A0200,461,1,Cowrie,global
A0201,460,1,Cowrie,global
A0202,457,1,Cowrie,global
A0203,446,1,Cowrie,global
A0204,445,1,Cowrie,global
A0205,442,1,Cowrie,global
A0206,441,1,Cowrie,global
A0207,435,1,Cowrie,global
A0208,433,1,Cowrie,global
A0209,431,1,Cowrie,global
A0210,431,1,Cowrie,global
A0211,429,1,Cowrie,global
A0212,428,1,Cowrie,global
A0213,426,1,Cowrie,global
A0214,426,1,Cowrie,global
A0215,425,1,Cowrie,global
A0216,424,1,Cowrie,global
A0217,424,1,Cowrie,global
A0218,422,1,Cowrie,global
A0219,419,1,Cowrie,global
A0220,418,1,Cowrie,global
A0221,417,1,Cowrie,global
A0222,416,1,Cowrie,global
A0223,416,1,Cowrie,global
A0224,413,1,Cowrie,global
A0225,412,1,Cowrie,global
A0226,411,1,Cowrie,global
A0227,410,1,Cowrie,global
A0228,410,1,Cowrie,global
A0229,408,1,Cowrie,global
A0230,408,1,Cowrie,global
A0231,408,1,Cowrie,global
A0232,408,1,Cowrie,global
A0233,407,1,Cowrie,global
A0234,406,1,Cowrie,global
A0235,405,1,Cowrie,global
A0236,405,1,Cowrie,global
A0237,404,1,Cowrie,global
A0238,403,1,Cowrie,global
A0239,402,1,Cowrie,global
A0240,401,1,Cowrie,global
A0241,400,1,Cowrie,global
A0242,400,1,Cowrie,global
A0243,400,1,Cowrie,global
A0244,395,1,Cowrie,global
A0245,394,1,Cowrie,global
A0246,394,1,Cowrie,global
A0247,392,1,Cowrie,global
A0248,392,1,Cowrie,global
A0249,390,1,Cowrie,global
A0250,390,1,Cowrie,global
A0251,385,1,Cowrie,global
A0252,385,1,Cowrie,global
A0253,384,1,Cowrie,global
A0254,384,1,Cowrie,global
A0255,383,1,Cowrie,global
A0256,382,1,Cowrie,global
A0257,381,1,Cowrie,global
A0258,380,1,Cowrie,global
A0259,380,1,Cowrie,global
A0260,379,1,Cowrie,global
A0261,379,1,Cowrie,global
A0262,379,1,Cowrie,global
A0263,379,1,Cowrie,global
A0264,379,1,Cowrie,global
A0265,378,1,Cowrie,global
A0266,375,1,Cowrie,global
A0267,375,1,Cowrie,global
A0268,375,1,Cowrie,global
A0269,375,1,Cowrie,global
A0270,374,1,Cowrie,global
A0271,373,1,Cowrie,global
A0272,372,1,Cowrie,global
A0273,372,1,Cowrie,global
A0274,371,1,Cowrie,global
A0275,371,1,Cowrie,global
A0276,371,1,Cowrie,global
A0277,370,1,Cowrie,global
A0278,370,1,Cowrie,global
A0279,369,1,Cowrie,global
A0280,369,1,Cowrie,global
A0281,368,1,Cowrie,global
A0282,367,1,Cowrie,global
A0283,367,1,Cowrie,global
A0284,367,1,Cowrie,global
A0285,366,1,Cowrie,global
